p_id,name,products,price,colour,brand,img,description,p_attributes,category,subcategory,fabric,occasion
11364440,SASSAFRAS Women Blue & Off-White Printed Blouson Crop Top,Crop Top,1299,Blue,SASSAFRAS,http://assets.myntassets.com/assets/images/11364440/2020/1/29/0602039d-b1a9-4b15-867a-e889d06b1d071580273350036-SASSAFRAS-Women-Blue-Printed-Blouson-Top-3581580273348507-1.jpg,"Blue and off-white floral printed woven blouson crop top with smocking detail, has a round neck, long sleeves, and button closureThe model (height 5'8"") is wearing a size SMaterial: 100% polyester<br>Machine Wash","{'Body Shape ID': '333,424', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Closure': 'Button', 'Fabric': 'Polyester', 'Fabric Type': 'NA', 'Length': 'Crop', 'Lining': 'NA', 'Main Trend': 'Floral Print', 'Neck': 'Round Neck', 'Occasion': 'Casual', 'Pattern': 'Printed', 'Print or Pattern Type': 'Floral', 'Sleeve Length': 'Long Sleeves', 'Sleeve Styling': 'Puff Sleeves', 'Surface Styling': 'Smocking', 'Transparency': 'Opaque', 'Type': 'Blouson', 'Wash Care': 'Machine Wash', 'Weave Type': 'Woven', 'taxMaterial': 'NA'}",Top,Crop Top,Polyester,Casual
14350802,Tokyo Talkies Women Yellow Solid  Fitted Crop Top,Crop Top,549,Yellow,Tokyo Talkies,http://assets.myntassets.com/assets/images/productimage/2021/5/19/d8b28c4d-d2b6-4b8f-9ce2-ffaa39f9c4951621432692467-1.jpg,"<ul> <li> Yellow crop fitted top </li> <li> Solid </li> <li> Shoulder straps,  sleeveless,  no sleeves </li> <li> Detail </li> <li> Knitted </li> </ul>Cotton blend <br> Machine washThe model (height 5'8) is wearing a size S","{'Body Shape ID': '424', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Center Front Open': 'No', 'Character': 'NA', 'Closure': 'NA', 'Fabric': 'Cotton Blend', 'Fabric Type': 'NA', 'Length': 'Crop', 'Lining': 'NA', 'Main Trend': 'New Basics', 'Multipack Set': 'NA', 'Neck': 'Shoulder Straps', 'Occasion': 'Casual', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid', 'Sleeve Length': 'Sleeveless', 'Sleeve Styling': 'No Sleeves', 'Surface Styling': 'NA', 'Sustainable': 'Regular', 'Transparency': 'Opaque', 'Type': 'Fitted', 'Wash Care': 'Machine Wash', 'Weave Type': 'Knitted', 'taxMaterial': 'NA'}",Top,Crop Top,Cotton Blend,Casual
13843084,SASSAFRAS Blue Twisted Pure Cotton Fitted Crop Top,Crop Top,899,Blue,SASSAFRAS,http://assets.myntassets.com/assets/images/13843084/2021/3/19/7ef8be3c-1ce4-46d1-a6bc-7e49f99dee311616140481317TopsSASSAFRASWomenJumpsuitSASSAFRASWomenTopsSASSAFRASWomenTo1.jpg,"<ul><li>Blue crop fitted top</li><li>Solid</li><li>Knitted</li><li>Round neck</li><li>Sleeveless</li><li>Twisted</li></ul><b><b>Trend Story</b></b><br>New basics Fashion trends come and go, but a few manage to break the cycle and earn wardrobe-essential status. A basic, if you will. New Basics resurface year after year, and outfits wouldnt be the same without them. These pieces are tried-and-true wardrobe staples and act as the foundation to every good look.<br><br><b><b><b>Fabric Story </b></b></b><br>Pure cotton : The go-to Cotton needs no introduction. It's a cooler, softer, natural fabric that breathes. Most cotton fabrics are pre-shrunk, which makes them highly durable. Easy to handle and care, cotton is comfortable year-round.<b><b> </b></b><br>96% Cotton 4% Lycra<br>Machine washThe model (height 5'8) is wearing a size S","{'Body Shape ID': '424', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Center Front Open': 'No', 'Character': 'NA', 'Closure': 'NA', 'Fabric': 'Pure Cotton', 'Fabric Type': 'Cotton', 'Length': 'Crop', 'Lining': 'NA', 'Main Trend': 'New Basics', 'Multipack Set': 'NA', 'Neck': 'Round Neck', 'Occasion': 'Casual', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid', 'Sleeve Length': 'Sleeveless', 'Sleeve Styling': 'No Sleeves', 'Surface Styling': 'Twisted', 'Sustainable': 'Regular', 'Transparency': 'Opaque', 'Type': 'Fitted', 'Wash Care': 'Machine Wash', 'Weave Type': 'Knitted', 'taxMaterial': 'NA'}",Top,Crop Top,Pure Cotton,Casual
19071720,H&M Turquoise Blue Cotton Crop Top,Crop Top,399,Turquoise Blue,H&M,http://assets.myntassets.com/assets/images/19071720/2022/7/12/4229b0d1-fc7e-4238-82af-ce6dae2064cb1657626847679Cottoncroptop1.jpg,"<p>Crop top in stretch ribbed cotton with shoulder straps.</p>95% Cotton, 5% Elastane<br>hand wash","{'Body Shape ID': '424', 'Body or Garment Size': 'Garment Measurements in', 'Center Front Open': 'No', 'Character': 'NA', 'Closure': 'NA', 'Fabric': 'Cotton Blend', 'Fabric Type': 'Cotton', 'Length': 'Crop', 'Lining': 'NA', 'Main Trend': 'New Basics', 'Multipack Set': 'NA', 'Neck': 'Scoop Neck', 'Occasion': 'Casual', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid', 'Sleeve Length': 'Sleeveless', 'Sleeve Styling': 'No Sleeves', 'Surface Styling': 'NA', 'Sustainable': 'Regular', 'Transparency': 'Opaque', 'Type': 'Fitted', 'Wash Care': 'Hand Wash', 'Weave Type': 'Knitted', 'Wedding': 'NA', 'taxMaterial': 'NA'}",Top,Crop Top,Cotton Blend,Casual
17313168,Friskers White Solid Crop Top,Crop Top,869,White,Friskers,http://assets.myntassets.com/assets/images/17313168/2022/2/26/580bc700-c297-4a0f-945a-124a29f291691645890030723FriskersWhiteTop1.jpg,"<ul> <li> White regular fitted top </li> <li> Solid </li> <li> High neck,  sleeveless,  no sleeves </li> <li> Knitted cotton </li> </ul>Cotton Rib<br>Machine WashThe model (height 5'8) is wearing a size S","{'Body or Garment Size': 'Garment Measurements in', 'Care for me': 'Machine Wash in cold water (30 degree C or low) to avoid shrinkage\r\nLine-dry in shade to avoid yellowing\r\nFor whites, wash with non-chlorine bleach on a hot water setting\r\nIron when slightly damp', 'Center Front Open': 'No', 'Character': 'NA', 'Closure': 'NA', 'Fabric': 'Pure Cotton', 'Fabric Type': 'Cotton', 'Length': 'Regular', 'Lining': 'NA', 'Main Trend': 'New Basics', 'Multipack Set': 'NA', 'Neck': 'High Neck', 'Occasion': 'Casual', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid', 'Sleeve Length': 'Sleeveless', 'Sleeve Styling': 'No Sleeves', 'Surface Styling': 'NA', 'Sustainable': 'Regular', 'Transparency': 'Opaque', 'Type': 'Fitted', 'Wash Care': 'Machine Wash', 'Weave Type': 'Knitted', 'Wedding': 'NA', 'taxMaterial': 'NA'}",Top,Crop Top,Pure Cotton,Casual
12800756,Berrylush Women Yellow Printed Crop Top,Crop Top,1479,Yellow,Berrylush,http://assets.myntassets.com/assets/images/productimage/2020/10/20/5af7b8fb-9f09-4593-bcf4-1a862c7e858b1603154218435-1.jpg,"Yellow and White printed woven regular  top, has  shoulder straps, and sleevelessThe model (height 5'8"") is wearing a size SMaterial: Viscose Rayon<br>  Machine Wash","{'Body Shape ID': '333,424', 'Body or Garment Size': 'Garment Measurements in', 'Center Front Open': 'Yes', 'Closure': 'NA', 'Fabric': 'Viscose Rayon', 'Fabric Type': 'Cotton', 'Length': 'Crop', 'Lining': 'NA', 'Main Trend': 'Floral Print', 'Neck': 'Shoulder Straps', 'Occasion': 'Casual', 'Pattern': 'Printed', 'Print or Pattern Type': 'Floral', 'Sleeve Length': 'Sleeveless', 'Sleeve Styling': 'No Sleeves', 'Surface Styling': 'Waist Tie-Ups', 'Sustainable': 'Regular', 'Transparency': 'Opaque', 'Type': 'Regular', 'Wash Care': 'Machine Wash', 'Weave Type': 'Woven', 'taxMaterial': 'NA'}",Top,Crop Top,Viscose Rayon,Casual
13670856,Kassually Lavender Self Design Sweetheart Neck Empire Front Knot Crop Top,Crop Top,1599,Lavender,KASSUALLY,http://assets.myntassets.com/assets/images/13670856/2022/4/21/5254d920-b230-4dfb-b66d-8da3cc1073711650517629239KassuallyLavenderSelfDesignSweetheartNeckEmpireFrontKnotCrop1.jpg,"<ul><li>Colour: lavender crop empire top</li><li>Self-design</li><li>Woven georgette</li><li>Sweetheart neck</li><li>Short sleeves, flared sleeves&nbsp;</li><li>Tie-ups</li><li>Hook and eye</li></ul>The model (height 5'8) is wearing a size S100% Polyester&nbsp;<br>Machine wash","{'Body Shape ID': '333,424', 'Body or Garment Size': 'Garment Measurements in', 'Center Front Open': 'No', 'Character': 'NA', 'Closure': 'Hook and Eye', 'Fabric': 'Polyester', 'Fabric Type': 'Georgette', 'Length': 'Crop', 'Lining': 'Has a lining', 'Main Trend': 'New Basics', 'Multipack Set': 'NA', 'Neck': 'Sweetheart Neck', 'Occasion': 'Casual', 'Pattern': 'Self Design', 'Print or Pattern Type': 'Self Design', 'Sleeve Length': 'Short Sleeves', 'Sleeve Styling': 'Flared Sleeves', 'Surface Styling': 'Tie-Ups', 'Sustainable': 'Regular', 'Transparency': 'Opaque', 'Type': 'Empire', 'Wash Care': 'Machine Wash', 'Weave Type': 'Woven', 'taxMaterial': 'NA'}",Top,Crop Top,Polyester,Casual
11011290,Mayra Women Black Self Design Crop Top,Crop Top,895,Black,Mayra,http://assets.myntassets.com/assets/images/productimage/2019/11/19/1b1d6baf-8779-4624-8678-8bcdb420e29c1574148525820-1.jpg,"Black self-design woven regular  top, has a high neck, and sleevelessMaterial: Polyester<br> Hand WashThe model (height 5'8"") is wearing a size S","{'Body Shape ID': '333', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Closure': 'NA', 'Fabric': 'Polyester', 'Fabric Type': 'NA', 'Length': 'Crop', 'Lining': 'NA', 'Main Trend': 'New Basics', 'Neck': 'High Neck', 'Occasion': 'Casual', 'Pattern': 'Self Design', 'Print or Pattern Type': 'Self Design', 'Sleeve Length': 'Sleeveless', 'Sleeve Styling': 'No Sleeves', 'Surface Styling': 'NA', 'Transparency': 'Opaque', 'Type': 'Regular', 'Wash Care': 'Hand Wash', 'Weave Type': 'Woven', 'taxMaterial': 'NA'}",Top,Crop Top,Polyester,Casual
18748596,THE CLOTHING FACTORY White Smocked Crop Top,Crop Top,2150,White,THE CLOTHING FACTORY,http://assets.myntassets.com/assets/images/18748596/2022/6/16/8a810279-c3d0-4272-9096-8c4e36bd8f751655367177192Tops1.jpg,"<ul> <li> White crop fitted top </li> <li> Solid </li> <li> Scoop neck,  long,  puff sleeve sleeves </li> <li> Smocked detail </li> <li> Woven </li> <li> Hook and eye closure </li> </ul>Viscose Rayon<br>Machine WashThe model (height 5'8) is wearing a size S","{'Body Shape ID': '424', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Care for me': 'Dry cleaning is recommended.\r\nUse cold water with mild detergents when handwashing or opt for delicate setting when machine washing.\r\nAlways wash inside-out to preserve colour.\r\nNever wring or tumble dry. Dry flat on a towel or hang on coat hangers.\r\nIron on the reverse side with medium heat.', 'Center Front Open': 'No', 'Character': 'NA', 'Closure': 'Hook and Eye', 'Fabric': 'Viscose Rayon', 'Fabric Type': 'NA', 'Length': 'Crop', 'Lining': 'NA', 'Main Trend': 'New Basics', 'Multipack Set': 'NA', 'Neck': 'Scoop Neck', 'Occasion': 'Casual', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid', 'Sleeve Length': 'Long Sleeves', 'Sleeve Styling': 'Puff Sleeves', 'Surface Styling': 'Smocking', 'Sustainable': 'Regular', 'Transparency': 'Opaque', 'Type': 'Fitted', 'Wash Care': 'Machine Wash', 'Weave Type': 'Woven', 'Wedding': 'NA', 'taxMaterial': 'NA'}",Top,Crop Top,Viscose Rayon,Casual
19114150,Sonex Gold Women Orange Print Crop Top,Crop Top,499,Orange,Sonex Gold,http://assets.myntassets.com/assets/images/19114150/2022/7/14/1e60dcf1-7381-44a5-994e-ab4bc2b1b52a1657810086678Top1.jpg,"<ul> <li> Orange crop regular top </li> <li> Typography print </li> <li> High neck,  sleeveless,  no sleeves </li> <li> Knitted cotton cambric </li> </ul>Cotton Blend<br>Machine WashThe model (height 5'8) is wearing a size S","{'Body Shape ID': '333', 'Body or Garment Size': 'Garment Measurements in', 'Care for me': 'NA', 'Center Front Open': 'No', 'Character': 'NA', 'Closure': 'NA', 'Fabric': 'Cotton Blend', 'Fabric Type': 'Cotton Cambric', 'Length': 'Crop', 'Lining': 'NA', 'Main Trend': 'New Basics', 'Multipack Set': 'NA', 'Neck': 'High Neck', 'Occasion': 'Casual', 'Pattern': 'Printed', 'Print or Pattern Type': 'Typography', 'Sleeve Length': 'Sleeveless', 'Sleeve Styling': 'No Sleeves', 'Surface Styling': 'NA', 'Sustainable': 'Regular', 'Transparency': 'Opaque', 'Type': 'Regular', 'Wash Care': 'Machine Wash', 'Weave Type': 'Knitted', 'Wedding': 'NA', 'taxMaterial': 'NA'}",Top,Crop Top,Cotton Blend,Casual
15702436,ONLY Pink Regular Crop Top,Crop Top,2499,Pink,ONLY,http://assets.myntassets.com/assets/images/15702436/2021/10/1/2a5f4625-fbce-41ec-b731-05341526c5741633079428641ONLYPinkRegularCropTop1.jpg,"<ul> <li> Pink crop regular top </li> <li> Solid </li> <li> Boat neck,  short,  regular sleeves </li> <li> Woven </li> <li> Button closure </li> </ul>The model (height 5'8) is wearing a size SPolyester <br> Machine wash","{'Body Shape ID': '424', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Center Front Open': 'No', 'Character': 'NA', 'Closure': 'Button', 'Fabric': 'Polyester', 'Fabric Type': 'NA', 'Length': 'Crop', 'Lining': 'NA', 'Main Trend': 'Ruched', 'Multipack Set': 'NA', 'Neck': 'Boat Neck', 'Occasion': 'Casual', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid', 'Sleeve Length': 'Short Sleeves', 'Sleeve Styling': 'Regular Sleeves', 'Surface Styling': 'NA', 'Sustainable': 'Regular', 'Transparency': 'Opaque', 'Type': 'Regular', 'Wash Care': 'Machine Wash', 'Weave Type': 'Woven', 'taxMaterial': 'NA'}",Top,Crop Top,Polyester,Casual
